title,author,urls,avg_rating,num_ratings,date_published,booktok_popularity
"A Court of Honey and Ash (Honey and Ice Trilogy, #1)",Shannon Mayer,https://www.goodreads.com/book/show/56273343-a-court-of-honey-and-ash,4.10,"                14,586",2021,871
"Resurrection (The Sainthood - Boys of Lowell High, #1)",Siobhan Davis,https://www.goodreads.com/book/show/51075749-resurrection,4.28,"                12,661",2020,872
"A Song Below Water (A Song Below Water, #1)",Bethany C. Morrow,https://www.goodreads.com/book/show/39085465-a-song-below-water,3.78,"                9,658",2020,873
"Rejected (Shadow Beast Shifters, #1)",Jaymin Eve,https://www.goodreads.com/book/show/55189382-rejected,4.20,"                27,460",2020,874
Sistersong (Hardcover),Lucy Holland,https://www.goodreads.com/book/show/55264209-sistersong,4.03,"                4,111",2021,875
The Great Gatsby (Paperback),F. Scott Fitzgerald,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,3.93,"                4,462,918",1925,876
"Court (Crave, #4)",Tracy Wolff,https://www.goodreads.com/book/show/55527921-court,4.24,"                11,600",2022,877
What My Mother and I Don't Talk About: Fifteen Writers Break the Silence (Hardcover),Michele Filgate,https://www.goodreads.com/book/show/42201997-what-my-mother-and-i-don-t-talk-about,3.83,"                6,705",2019,878
You Have a Match (Hardcover),(Editor),https://www.goodreads.com/book/show/53138158-you-have-a-match,3.64,"                21,864",2021,879
Untamed (Hardcover),Emma Lord,https://www.goodreads.com/book/show/52129515-untamed,4.02,"                314,193",2020,880
Two Can Keep a Secret (Hardcover),Glennon Doyle,https://www.goodreads.com/book/show/38225791-two-can-keep-a-secret,3.97,"                94,218",2019,881
Sweetbitter (Hardcover),Karen M. McManus,https://www.goodreads.com/book/show/26192646-sweetbitter,3.31,"                63,685",2016,882
101 Essays That Will Change the Way You Think (Kindle Edition),Stephanie Danler,https://www.goodreads.com/book/show/32998876-101-essays-that-will-change-the-way-you-think,3.87,"                11,110",2016,883
The Midnight Bargain (Hardcover),Brianna Wiest,https://www.goodreads.com/book/show/49151031-the-midnight-bargain,3.77,"                9,336",2020,884
More Happy Than Not (Hardcover),C.L. Polk,https://www.goodreads.com/book/show/19542841-more-happy-than-not,3.99,"                54,170",2015,885
"Twist Me (Twist Me, #1)",Adam Silvera,https://www.goodreads.com/book/show/31847592-twist-me,3.94,"                25,720",2014,886
No Exit (Kindle Edition),Anna Zaires,https://www.goodreads.com/book/show/35522836-no-exit,4.03,"                100,463",2018,887
"The Bone Witch (The Osseous Chronicles, #1)",Taylor Adams,https://www.goodreads.com/book/show/55448116-the-bone-witch,4.16,"                5,879",2020,888
